,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
55,55,9/13/2020,CA,754923,87284,22091,313582,28330,1291,2842,5148,55387,238968,313582,202373,238968,14329,4165,1092,6824,1654,42,56,98,110,288,6824,7217,288,27636403,2486549,622107,5038123,181431,37253956,0.020264237,0.003158298,0.008884201,0.005623126,0.002075206,0.015664357,0.00038463,0.000150707,0.000439163,0.000328297,6.75E-05,0.000308657
56,56,9/13/2020,CO,61324,22646,2814,23192,1208,331,245,821,496,9566,23192,28561,0,1889,1182,120,437,59,13,5,26,8,35,437,1413,35,4450623,214919,78144,144819,8420,5029196,0.012193599,0.005088276,0.013093305,0.008341447,0.00423577,0.029097387,0.000375607,0.000265581,0.00055835,0.000407405,0.00016636,0.000593824
57,57,9/13/2020,CT,54326,19122,7181,10575,790,53,0,195,351,16059,10575,27692,16059,4480,3273,661,399,48,2,0,35,21,41,399,4040,41,2950820,392131,16734,140516,3491,3574097,0.015199923,0.006480233,0.018312758,0.005622136,0.003167204,0,0.001253463,0.001109183,0.001685661,0.000341598,0.000119517,0
58,58,9/13/2020,DC,14592,3163,7497,0,226,37,39,0,3531,99,3753,9559,1280,616,66,459,77,8,0,0,0,6,0,77,539,0,251265,310379,3264,21705,770,601723,0.024250361,0.012588303,0.02415434,0.010412347,0.011335784,0.050649351,0.001023727,0.000262671,0.001478837,0.000368579,0,0
59,59,9/13/2020,DE,18849,6735,5011,4442,249,0,0,0,877,1535,4442,12872,1535,615,395,159,48,1,0,0,0,12,0,48,567,0,645770,196281,5929,29342,690,897934,0.020991521,0.01042941,0.025529725,0.008486129,0,0,0.000684906,0.000611673,0.000810063,3.41E-05,0,0
60,60,9/13/2020,FL,663994,162384,97451,190037,0,0,0,0,42887,171235,190037,258335,215622,12764,5999,2339,3177,0,0,0,0,535,714,3177,8171,1416,14808867,3078067,89119,474199,18790,18801310,0.035316369,0.010965322,0.031659805,0,0,0,0.000678889,0.000405095,0.000759892,0,0,0
61,61,9/13/2020,GA,294314,85153,75225,37617,4445,178,315,0,8160,83221,37617,143533,113164,6333,3054,2650,394,118,7,8,0,23,79,394,5837,102,6144931,2993927,48599,323459,10454,9687653,0.03038032,0.013857438,0.025125863,0.013742082,0.003662627,0.030132007,0.000653719,0.000496995,0.000885125,0.000364807,0.000144036,0.000765257
62,62,9/13/2020,HI,10700,739,84,0,1671,0,1966,0,231,6009,0,0,0,99,0,0,0,0,0,0,0,0,99,0,0,0,349051,22473,4960,531633,138292,1360301,0.007865906,0.002117169,0.003737819,0.003143146,0,0.014216296,7.28E-05,0,0,0,0,0
63,63,9/13/2020,IA,72533,50049,4352,0,2176,725,725,0,1450,13056,10154,49323,13056,1219,997,43,0,24,4,11,0,5,131,68,1006,143,2839615,91695,13563,54232,2419,3046355,0.023809766,0.017625277,0.047461694,0.040123912,0.053454251,0.299710624,0.00040015,0.000351104,0.000468946,0.000442543,0.00029492,0.004547334
64,64,9/13/2020,ID,35279,17038,345,0,250,521,92,1190,3723,12120,6359,12456,16463,415,393,4,0,3,5,0,0,5,5,48,363,4,1476097,10950,25782,20034,2786,1567582,0.022505362,0.011542602,0.031506849,0.012478786,0.020207897,0.033022254,0.000264739,0.000266243,0.000365297,0.000149745,0.000193934,0
65,65,9/13/2020,IL,263466,73743,37197,69281,6036,335,485,0,9550,66839,69281,127346,66839,8541,3872,2180,1679,376,12,10,0,48,364,1679,6498,132,10030587,1903458,73846,604399,7436,12830632,0.02053414,0.007351813,0.019541802,0.00998678,0.004536468,0.065223238,0.000665673,0.000386019,0.001145284,0.000622106,0.0001625,0.001344809
66,66,9/13/2020,IN,105804,55682,10560,0,1204,0,0,0,15531,22827,9411,38923,57470,3438,2107,439,0,17,0,0,0,423,452,70,1647,1721,5638833,603797,24487,105535,3532,6483802,0.016318203,0.009874738,0.017489322,0.011408537,0,0,0.000530244,0.000373659,0.000727066,0.000161084,0,0
67,67,9/13/2020,KS,48386,31776,3542,0,1311,361,0,0,2781,8615,12966,24191,11229,511,362,79,0,13,4,0,0,29,24,71,406,34,2501057,173298,33044,69628,2864,2853118,0.01695899,0.012705028,0.020438782,0.018828632,0.010924828,0,0.000179102,0.000144739,0.000455862,0.000186706,0.000121051,0
68,68,9/13/2020,KY,56945,29522,4571,0,516,144,55,2230,0,19907,4114,31726,21105,1060,808,124,0,11,0,0,21,0,96,33,891,136,3864193,342804,12105,50177,3199,4339367,0.013122882,0.007639888,0.01333415,0.010283596,0.011895911,0.017192873,0.000244275,0.000209099,0.000361723,0.000219224,0,0
69,69,9/13/2020,LA,158390,58538,57063,0,7584,405,184,0,13959,20657,0,0,158390,5235,2554,2324,0,34,4,6,0,29,284,133,4713,389,2902875,1462969,33037,71829,2588,4533372,0.034938673,0.020165526,0.039004928,0.105584096,0.012258982,0.071097372,0.00115477,0.000879817,0.00158855,0.000473346,0.000121076,0.002318393
70,70,9/13/2020,MA,124826,39080,11924,27956,2722,0,0,0,7753,35391,27956,61479,35391,9210,6949,751,641,232,0,0,0,582,55,641,8514,55,5524937,504365,29944,359673,5971,6547629,0.019064306,0.007073384,0.023641609,0.007567985,0,0,0.001406616,0.001257752,0.001489001,0.00064503,0,0
71,71,9/13/2020,MD,116110,28240,37138,25706,2217,0,0,0,5378,17431,25706,72973,17431,3838,1637,1568,441,142,0,0,0,41,9,441,3388,9,3541379,1731513,30885,326655,5391,5773552,0.02011067,0.007974295,0.021448294,0.006786977,0,0,0.000664755,0.000462249,0.000905566,0.000434709,0,0
72,72,9/13/2020,ME,4863,3184,954,0,111,9,3,22,139,441,195,3923,745,136,119,4,0,0,0,0,0,0,13,0,112,24,1269764,16269,8771,13783,377,1328361,0.003660902,0.002507553,0.05863913,0.008053399,0.001026109,0.00795756,0.000102382,9.37E-05,0.000245866,0,0,0
